scenario,w,target,precision,recall,f1,false_positives_per_day,mean_delay_minutes,median_delay_minutes,p90_delay_minutes,p95_delay_minutes,tp_windows,fp_windows,fn_events
S1_missing_burst,6,fault,0.5798319327731093,1.0,0.7340425531914894,0.3333526245731813,0.0,0.0,0.0,0.0,276,200,0
S1_missing_burst,12,fault,0.3854748603351955,1.0,0.5564516129032259,0.7333757740609989,0.0,0.0,0.0,0.0,276,440,0
S1_missing_burst,24,fault,0.2307692307692307,1.0,0.375,1.533422073036634,0.0,0.0,0.0,0.0,276,920,0
S1_missing_burst,48,fault,0.1281932187645146,1.0,0.2272540139975298,3.1285143816193064,0.0,0.0,0.0,0.0,276,1877,0
S3_late_arrivals,6,fault,0.9971785403095308,1.0,0.9985872771845264,0.1133398923548816,95.0,17.5,278.0,313.9999999999999,24033,68,0
S3_late_arrivals,12,fault,0.9966329966329966,1.0,0.9983136593591906,0.2516812315527519,95.0,17.5,278.0,313.9999999999999,44696,151,0
S3_late_arrivals,24,fault,0.9906618927811108,1.0,0.9953090440658192,0.3216852827131199,493.5,612.5,1036.0,1040.5,20475,193,0
S3_late_arrivals,48,fault,0.9870803515681283,1.0,0.9934981751383752,0.4483592800509288,87.0,0.0,86.99999999999969,478.4999999999991,20552,269,0
S8_efficiency_drop,6,anomaly,0.0019666369227791,0.4661954261954261,0.0039147077737151,175.56015973146594,187.25,187.25,261.85,271.175,208,105330,0
S8_efficiency_drop,12,anomaly,0.0018952032178141,0.438,0.0037721822310554,170.91155738179293,229.25,229.25,331.05,343.775,195,102541,0
S8_efficiency_drop,24,anomaly,0.0018661261746124,0.4336632016632016,0.003714408863692,164.00449100063662,138.75,138.75,192.95,199.725,184,98397,0
S8_efficiency_drop,48,anomaly,0.0015023159527568,0.3515135135135135,0.0029904466814164,158.23749059552057,196.0,196.0,293.6,305.8,143,94937,0
